2016/05/11 16:54:00 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-78 
2016/05/11 16:54:00 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-79 
2016/05/11 16:54:00 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-80 
2016/05/11 16:54:00 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-81 
2016/05/11 16:54:01 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-82 
2016/05/11 16:54:01 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-83 
2016/05/11 16:54:01 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-84 
2016/05/11 16:54:01 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-85 
2016/05/11 16:54:02 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-86 
2016/05/11 16:54:02 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-87 
2016/05/11 16:54:02 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-88 
2016/05/11 16:54:02 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-89 
2016/05/11 16:54:03 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-90 
2016/05/11 16:54:03 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-91 
2016/05/11 16:54:03 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-92 
2016/05/11 16:54:03 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-93 
2016/05/11 16:54:04 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-94 
2016/05/11 16:54:04 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-95 
2016/05/11 16:54:04 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-96 
2016/05/11 16:54:04 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-97 
2016/05/11 16:54:05 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-98 
2016/05/11 16:54:05 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-99 
2016/05/11 16:54:05 INFO  - jmeter.threads.JMeterThread: Thread started: stage-KILLTHATMACHINE 1-100 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
